FFT,float32,256,256,256,4,4,NCCL,2,6218.7313,2.7731,111.0926,13.6969,32.4653,2.9154,9760,4194304,8388608,16777728
IFFT,float32,256,256,256,4,4,NCCL,2,587.8752,2.8725,4.2410,3.0703,0.3927,2.8939,8160,8388608,8388608,16777728
FFT,float32,256,256,256,1,16,NCCL,2,1893.3822,2.8662,130.5116,15.7621,38.2499,3.0387,15008,4194304,8388608,16777472
IFFT,float32,256,256,256,1,16,NCCL,2,243.5552,2.8036,3.2111,3.0429,0.1097,3.1239,12896,8388608,8388608,16777472
FFT,float32,256,256,256,16,1,NCCL,2,1872.7903,2.9929,129.3976,15.7276,37.8901,3.0536,15008,4194304,8388608,16777472
IFFT,float32,256,256,256,16,1,NCCL,2,263.7091,2.8447,3.1816,3.0012,0.1006,3.1816,12896,8388608,8388608,8388864
FFT,float32,512,512,512,4,4,NCCL,2,5524.7983,20.6321,135.8574,32.5336,34.4419,20.6321,11296,33554432,67108864,134218240
IFFT,float32,512,512,512,4,4,NCCL,2,629.2274,21.1366,22.1510,21.4200,0.2744,21.3355,8160,67108864,67108864,134218240
FFT,float32,512,512,512,1,16,NCCL,2,1835.3205,19.6981,146.6544,33.1545,37.8354,20.5781,16544,33554432,67108864,134217984
IFFT,float32,512,512,512,1,16,NCCL,2,255.6378,20.2391,24.0645,21.1720,1.0558,20.7738,12896,67108864,67108864,134217984
FFT,float32,512,512,512,16,1,NCCL,2,1884.3673,19.7944,139.0548,32.5233,35.5125,20.7221,16544,33554432,67108864,134217984
IFFT,float32,512,512,512,16,1,NCCL,2,255.1960,20.3392,21.9964,21.2378,0.4018,21.5772,12896,67108864,67108864,67109120
FFT,float32,1024,1024,1024,4,4,NCCL,2,5592.3911,161.6921,272.4301,173.1939,33.0803,161.9336,10400,268435456,536870912,1073742336
IFFT,float32,1024,1024,1024,4,4,NCCL,2,799.9442,167.4177,168.5110,167.9292,0.3302,168.0993,8160,536870912,536870912,1073742336
FFT,float32,1024,1024,1024,1,16,NCCL,2,2002.4126,159.5287,280.7502,172.8949,35.9610,160.5381,15264,268435456,536870912,1073742080
IFFT,float32,1024,1024,1024,1,16,NCCL,2,391.6644,162.8178,170.4621,164.6573,2.0705,163.6914,12896,536870912,536870912,1073742080
FFT,float32,1024,1024,1024,16,1,NCCL,2,2017.6419,160.5477,275.7836,172.6636,34.3797,161.1999,15264,268435456,536870912,1073742080
IFFT,float32,1024,1024,1024,16,1,NCCL,2,390.2713,162.4291,165.4802,164.2536,0.8240,164.7309,12896,536870912,536870912,536871168
FFT,float32,2048,2048,2048,4,4,NCCL,2,6809.8105,1286.7061,1379.9148,1297.1389,27.6056,1286.7061,10272,2147483648,4294967296,8589935104
IFFT,float32,2048,2048,2048,4,4,NCCL,2,2283.1137,1368.8689,1374.8149,1371.9247,1.6231,1373.2311,8160,4294967296,4294967296,8589935104
FFT,float32,2048,2048,2048,1,16,NCCL,2,3128.9025,1279.8330,1404.6787,1293.9768,36.9273,1280.7921,15136,2147483648,4294967296,8589934848
IFFT,float32,2048,2048,2048,1,16,NCCL,2,1517.5763,1311.4242,1322.8042,1315.8120,3.2666,1316.1260,13024,4294967296,4294967296,8589934848
FFT,float32,2048,2048,2048,16,1,NCCL,2,3176.6700,1281.9452,1402.9288,1296.1442,35.6363,1285.6741,15136,2147483648,4294967296,8589934848
IFFT,float32,2048,2048,2048,16,1,NCCL,2,1520.5781,1312.7795,1316.5173,1314.7827,1.2140,1314.6592,13024,4294967296,4294967296,4294967552
FFT,float64,256,256,256,4,4,NCCL,2,5549.7853,5.2626,117.5984,16.7064,33.6309,5.6443,12192,8388608,16777216,33554944
IFFT,float64,256,256,256,4,4,NCCL,2,868.7576,5.4430,6.7255,5.6932,0.3508,5.4739,10336,16777216,16777216,33554944
FFT,float64,256,256,256,1,16,NCCL,2,1850.2896,5.4409,153.5960,20.4790,44.3725,5.8784,19488,8388608,16777216,33554688
IFFT,float64,256,256,256,1,16,NCCL,2,260.7790,5.6427,6.2524,5.8534,0.1734,5.7430,17248,16777216,16777216,33554688
FFT,float64,256,256,256,16,1,NCCL,2,1908.5058,5.7176,151.1290,20.4232,43.5688,6.0406,19488,8388608,16777216,33554688
IFFT,float64,256,256,256,16,1,NCCL,2,266.3029,5.3844,5.9937,5.6646,0.1571,5.4590,17248,16777216,16777216,16777472
FFT,float64,512,512,512,4,4,NCCL,2,5737.7000,41.0991,141.4505,51.4519,30.0005,41.4496,15264,67108864,134217728,268435968
IFFT,float64,512,512,512,4,4,NCCL,2,713.1556,41.7923,42.4791,42.1211,0.1895,42.1723,10336,134217728,134217728,268435968
FFT,float64,512,512,512,1,16,NCCL,2,1863.5757,40.6480,180.3422,54.8866,41.8192,41.0900,23584,67108864,134217728,268435712
IFFT,float64,512,512,512,1,16,NCCL,2,275.3340,41.0274,45.0102,42.0519,1.0778,42.5544,17248,134217728,134217728,268435712
FFT,float64,512,512,512,16,1,NCCL,2,1927.2903,40.3236,172.0553,53.8734,39.3961,41.3352,23584,67108864,134217728,268435712
IFFT,float64,512,512,512,16,1,NCCL,2,293.7695,40.7487,42.4686,41.5369,0.4626,41.1278,17248,134217728,134217728,134217984
FFT,float64,1024,1024,1024,4,4,NCCL,2,5977.1484,324.4629,431.6620,335.5850,32.0279,325.1285,12832,536870912,1073741824,2147484160
IFFT,float64,1024,1024,1024,4,4,NCCL,2,723.3120,331.8268,333.1812,332.5501,0.4205,332.7511,10336,1073741824,1073741824,2147484160
FFT,float64,1024,1024,1024,1,16,NCCL,2,2193.4554,321.1829,452.7662,335.8505,38.9832,323.4818,19872,536870912,1073741824,2147483904
IFFT,float64,1024,1024,1024,1,16,NCCL,2,557.6740,325.3461,335.8579,327.7709,2.8740,326.2983,17248,1073741824,1073741824,2147483904
FFT,float64,1024,1024,1024,16,1,NCCL,2,2148.6294,321.6707,455.8229,336.5307,39.7856,322.8569,19872,536870912,1073741824,2147483904
IFFT,float64,1024,1024,1024,16,1,NCCL,2,559.5602,325.3536,328.7163,327.2484,1.0557,327.6587,17248,1073741824,1073741824,1073742080
FFT,float64,2048,2048,2048,4,4,NCCL,2,8235.6996,2578.7269,2682.7257,2594.0109,29.8141,2585.8859,12832,4294967296,8589934592,17179869696
IFFT,float64,2048,2048,2048,4,4,NCCL,2,3203.0010,2669.2996,2673.9202,2671.5951,1.5205,2673.9202,10336,8589934592,8589934592,17179869696
FFT,float64,2048,2048,2048,1,16,NCCL,2,4411.4201,2565.9892,2714.4367,2587.9894,42.2927,2571.8978,19872,4294967296,8589934592,17179869440
IFFT,float64,2048,2048,2048,1,16,NCCL,2,2850.2067,2621.4228,2627.8563,2624.4906,2.2696,2622.4637,17376,8589934592,8589934592,17179869440
FFT,float64,2048,2048,2048,16,1,NCCL,2,4516.4636,2571.7193,2708.4191,2590.5385,39.4937,2576.8616,19872,4294967296,8589934592,17179869440
IFFT,float64,2048,2048,2048,16,1,NCCL,2,2876.1429,2620.8060,2628.2288,2624.0608,2.1915,2620.8060,17376,8589934592,8589934592,8589934848
